<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZHIV,D,04/01/16,000000,26.0000000,26.0000000,26.0000000,26.0000000,40
ZHIV,D,05/01/16,000000,27.0000000,27.0000000,27.0000000,27.0000000,20
ZHIV,D,06/01/16,000000,27.1000000,27.9000000,27.1000000,27.9000000,20
ZHIV,D,13/01/16,000000,25.9000000,26.4000000,25.8000000,26.0000000,1.200
ZHIV,D,14/01/16,000000,26.0000000,26.0000000,25.8000000,25.8000000,90
ZHIV,D,15/01/16,000000,25.8000000,25.8000000,25.8000000,25.8000000,400
ZHIV,D,18/01/16,000000,25.8000000,26.0000000,25.8000000,26.0000000,350
ZHIV,D,20/01/16,000000,26.2000000,26.2000000,25.8000000,25.8000000,20
ZHIV,D,21/01/16,000000,25.6000000,25.9000000,25.6000000,25.9000000,100
ZHIV,D,22/01/16,000000,25.7000000,25.7000000,25.7000000,25.7000000,10
ZHIV,D,25/01/16,000000,25.7000000,26.2000000,25.5000000,25.5000000,400
ZHIV,D,26/01/16,000000,25.8000000,25.9000000,25.8000000,25.9000000,200
ZHIV,D,27/01/16,000000,25.6000000,25.6000000,24.8000000,25.4000000,690
ZHIV,D,28/01/16,000000,25.6000000,26.2000000,25.5000000,26.2000000,800
ZHIV,D,29/01/16,000000,26.2000000,26.3000000,26.2000000,26.3000000,320
ZHIV,D,01/02/16,000000,25.8000000,25.8000000,25.8000000,25.8000000,60
ZHIV,D,02/02/16,000000,26.0000000,26.0000000,26.0000000,26.0000000,30
ZHIV,D,03/02/16,000000,26.5000000,26.5000000,26.0000000,26.0000000,490
ZHIV,D,04/02/16,000000,26.5000000,26.7000000,26.1000000,26.7000000,630
ZHIV,D,05/02/16,000000,27.9000000,27.9000000,26.0000000,26.0000000,150
ZHIV,D,08/02/16,000000,26.0000000,26.0000000,25.0000000,26.0000000,1.770
ZHIV,D,09/02/16,000000,25.0000000,25.0000000,24.8000000,24.8000000,700
ZHIV,D,10/02/16,000000,24.6000000,24.9000000,24.6000000,24.9000000,60
ZHIV,D,11/02/16,000000,24.9000000,24.9000000,24.9000000,24.9000000,60
ZHIV,D,12/02/16,000000,24.9000000,24.9000000,24.9000000,24.9000000,10
ZHIV,D,15/02/16,000000,24.9000000,25.4000000,24.9000000,25.4000000,290
ZHIV,D,17/02/16,000000,24.5000000,24.5000000,24.5000000,24.5000000,100
ZHIV,D,18/02/16,000000,24.7000000,24.9000000,24.7000000,24.8000000,110
ZHIV,D,19/02/16,000000,25.0000000,25.0000000,25.0000000,25.0000000,300
ZHIV,D,22/02/16,000000,26.4000000,26.4000000,25.7000000,25.7000000,20
ZHIV,D,24/02/16,000000,25.5000000,25.5000000,25.0000000,25.1000000,380
ZHIV,D,25/02/16,000000,24.6000000,24.6000000,24.6000000,24.6000000,10
ZHIV,D,26/02/16,000000,24.4000000,24.4000000,24.4000000,24.4000000,100
ZHIV,D,29/02/16,000000,24.3000000,27.8000000,23.4000000,24.0000000,2.340
ZHIV,D,01/03/16,000000,24.1000000,24.1000000,23.8000000,24.0000000,140
ZHIV,D,02/03/16,000000,24.0000000,24.6000000,24.0000000,24.6000000,20
ZHIV,D,03/03/16,000000,25.3000000,30.0000000,23.4000000,23.4000000,3.780
ZHIV,D,04/03/16,000000,23.8000000,25.0000000,22.9000000,25.0000000,2.300
ZHIV,D,07/03/16,000000,25.4000000,25.5000000,23.8000000,23.8000000,410
ZHIV,D,09/03/16,000000,25.1000000,25.2000000,23.0000000,23.0000000,2.160
ZHIV,D,10/03/16,000000,22.8000000,25.0000000,22.8000000,25.0000000,2.540
ZHIV,D,11/03/16,000000,23.8000000,25.0000000,23.8000000,23.8000000,1.070
ZHIV,D,14/03/16,000000,24.9000000,25.0000000,24.9000000,25.0000000,690
ZHIV,D,15/03/16,000000,24.2000000,28.0000000,22.9000000,24.0000000,2.830
ZHIV,D,16/03/16,000000,23.7000000,23.7000000,20.8000000,23.0000000,6.380
ZHIV,D,17/03/16,000000,22.6000000,22.6000000,21.5000000,21.5000000,1.600
ZHIV,D,18/03/16,000000,22.3000000,23.5000000,22.2000000,23.3000000,490
ZHIV,D,21/03/16,000000,22.3000000,23.3000000,22.1000000,22.9000000,19.740
ZHIV,D,22/03/16,000000,22.4000000,22.4000000,21.1000000,21.2000000,3.450
ZHIV,D,23/03/16,000000,21.9000000,22.2000000,21.0000000,21.0000000,2.920
ZHIV,D,24/03/16,000000,21.3000000,22.1000000,20.0000000,20.0000000,5.970
ZHIV,D,25/03/16,000000,20.2000000,20.5000000,20.0000000,20.5000000,2.140
ZHIV,D,28/03/16,000000,20.0000000,20.4000000,19.9000000,20.4000000,2.830
ZHIV,D,29/03/16,000000,20.1000000,20.5000000,19.8000000,20.4000000,9.400
ZHIV,D,30/03/16,000000,20.1000000,20.7000000,20.1000000,20.7000000,520
ZHIV,D,31/03/16,000000,20.7000000,20.8000000,20.0000000,20.0000000,2.030
ZHIV,D,01/04/16,000000,20.0000000,20.0000000,19.8000000,20.0000000,1.650
ZHIV,D,04/04/16,000000,20.0000000,20.2000000,19.9000000,20.0000000,1.160
ZHIV,D,05/04/16,000000,20.2000000,20.5000000,19.9000000,20.4000000,410
ZHIV,D,06/04/16,000000,20.4000000,20.5000000,20.4000000,20.5000000,20
ZHIV,D,07/04/16,000000,20.0000000,20.4000000,19.8000000,20.0000000,910
ZHIV,D,08/04/16,000000,20.2000000,20.3000000,20.2000000,20.3000000,60
ZHIV,D,11/04/16,000000,19.7000000,20.5000000,19.7000000,20.0000000,230
ZHIV,D,12/04/16,000000,20.1000000,20.1000000,20.0000000,20.0000000,80
ZHIV,D,13/04/16,000000,19.9000000,19.9000000,19.7000000,19.7000000,120
ZHIV,D,14/04/16,000000,20.0000000,21.3000000,19.4000000,19.8000000,2.170
ZHIV,D,15/04/16,000000,20.5000000,20.5000000,18.3000000,18.8000000,2.930
ZHIV,D,18/04/16,000000,18.6000000,19.5000000,18.6000000,19.2000000,290
ZHIV,D,19/04/16,000000,19.4000000,27.0000000,19.1000000,20.3000000,10.750
ZHIV,D,20/04/16,000000,20.3000000,21.0000000,17.1000000,17.9000000,21.240
ZHIV,D,21/04/16,000000,18.0000000,18.0000000,16.7000000,17.4000000,15.780
ZHIV,D,22/04/16,000000,17.0000000,17.4000000,16.8000000,17.0000000,3.490
ZHIV,D,25/04/16,000000,17.0000000,17.4000000,16.0000000,16.8000000,3.350
ZHIV,D,26/04/16,000000,16.2000000,17.1000000,16.2000000,16.7000000,350
ZHIV,D,27/04/16,000000,17.0000000,17.0000000,16.5000000,16.6000000,1.240
ZHIV,D,28/04/16,000000,16.7000000,17.0000000,16.5000000,17.0000000,300
ZHIV,D,29/04/16,000000,16.6000000,16.7000000,15.8000000,16.4000000,1.540
ZHIV,D,04/05/16,000000,16.6000000,16.6000000,15.6000000,15.6000000,100
ZHIV,D,05/05/16,000000,15.7000000,17.0000000,15.7000000,16.5000000,840
ZHIV,D,06/05/16,000000,16.7000000,16.7000000,16.4000000,16.4000000,210
ZHIV,D,10/05/16,000000,16.4000000,16.4000000,15.7000000,15.9000000,1.200
ZHIV,D,11/05/16,000000,16.5000000,16.5000000,15.3000000,15.9000000,890
ZHIV,D,12/05/16,000000,15.4000000,16.1000000,15.0000000,15.3000000,8.230
ZHIV,D,13/05/16,000000,15.2000000,15.6000000,14.5000000,15.0000000,6.020
ZHIV,D,16/05/16,000000,14.6000000,14.6000000,12.9000000,13.0000000,65.780
ZHIV,D,17/05/16,000000,13.1000000,13.6000000,12.5000000,12.6000000,12.360
ZHIV,D,18/05/16,000000,12.9000000,13.5000000,12.6000000,12.7000000,2.580
ZHIV,D,19/05/16,000000,12.8000000,13.3000000,12.7000000,13.0000000,1.520
ZHIV,D,20/05/16,000000,13.3000000,13.3000000,12.8000000,12.9000000,880
ZHIV,D,23/05/16,000000,13.0000000,13.2000000,12.7000000,13.0000000,3.200
ZHIV,D,24/05/16,000000,13.0000000,13.2000000,12.7000000,13.0000000,900
