<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BGDE,D,26/01/16,000000,0.8850000,1.0000000,0.8600000,0.9800000,291.000
BGDE,D,27/01/16,000000,0.9900000,1.2900000,0.9000000,0.9100000,399.000
BGDE,D,28/01/16,000000,0.9000000,0.9300000,0.8800000,0.8800000,102.000
BGDE,D,29/01/16,000000,0.9050000,0.9050000,0.9050000,0.9050000,1.000
BGDE,D,01/02/16,000000,0.9050000,0.9100000,0.9050000,0.9100000,6.000
BGDE,D,02/02/16,000000,0.9000000,0.9000000,0.8000000,0.8600000,140.000
BGDE,D,03/02/16,000000,0.8500000,0.8500000,0.8500000,0.8500000,11.000
BGDE,D,04/02/16,000000,0.8600000,0.8850000,0.8000000,0.8850000,34.000
BGDE,D,08/02/16,000000,0.8900000,0.8900000,0.8900000,0.8900000,1.000
BGDE,D,09/02/16,000000,0.8600000,0.8850000,0.8000000,0.8000000,124.000
BGDE,D,10/02/16,000000,0.8400000,0.8600000,0.8000000,0.8600000,48.000
BGDE,D,11/02/16,000000,0.9100000,1.0200000,0.8750000,0.9600000,255.000
BGDE,D,12/02/16,000000,0.9750000,1.3000000,0.8700000,1.3000000,147.000
BGDE,D,15/02/16,000000,1.1350000,1.4500000,1.1350000,1.4500000,83.000
BGDE,D,16/02/16,000000,1.4500000,1.7650000,1.4500000,1.5550000,53.000
BGDE,D,17/02/16,000000,1.5500000,1.5500000,1.0900000,1.3400000,72.000
BGDE,D,18/02/16,000000,1.2850000,1.3500000,1.2750000,1.3500000,10.000
BGDE,D,19/02/16,000000,1.3000000,1.4450000,1.0500000,1.4450000,61.000
BGDE,D,20/02/16,000000,1.3700000,1.3700000,1.1000000,1.3450000,20.000
BGDE,D,22/02/16,000000,1.2800000,1.2800000,1.2800000,1.2800000,1.000
BGDE,D,24/02/16,000000,1.3100000,1.3500000,1.3100000,1.3500000,2.000
BGDE,D,25/02/16,000000,1.2800000,1.3000000,1.2800000,1.3000000,2.000
BGDE,D,26/02/16,000000,1.3100000,1.4500000,1.3100000,1.4300000,7.982.000
BGDE,D,29/02/16,000000,1.4050000,1.4050000,1.4050000,1.4050000,1.000
BGDE,D,01/03/16,000000,1.4300000,1.4700000,1.4000000,1.4000000,10.308.000
BGDE,D,02/03/16,000000,1.3600000,1.3600000,1.3600000,1.3600000,1.000
BGDE,D,03/03/16,000000,1.3800000,1.4550000,1.3800000,1.4350000,7.699.000
BGDE,D,04/03/16,000000,1.4250000,1.4250000,1.4250000,1.4250000,168.000
BGDE,D,09/03/16,000000,1.3600000,1.3850000,1.3600000,1.3850000,2.000
BGDE,D,10/03/16,000000,1.3600000,1.3600000,1.3250000,1.3250000,2.000
BGDE,D,11/03/16,000000,1.3200000,1.3200000,1.3200000,1.3200000,3.000
BGDE,D,18/03/16,000000,1.3750000,1.4550000,1.3750000,1.3800000,6.329.000
BGDE,D,22/03/16,000000,1.3450000,1.3450000,1.3450000,1.3450000,2.000
BGDE,D,23/03/16,000000,1.4350000,1.4350000,1.4350000,1.4350000,10.000
BGDE,D,24/03/16,000000,1.3450000,1.3450000,1.3050000,1.3050000,3.000
BGDE,D,28/03/16,000000,1.3750000,1.4400000,1.3500000,1.3500000,4.000
BGDE,D,30/03/16,000000,1.3250000,1.3250000,1.2750000,1.2750000,4.000
BGDE,D,31/03/16,000000,1.3500000,1.4850000,1.3500000,1.4550000,9.059.000
BGDE,D,01/04/16,000000,1.3150000,1.4750000,1.3150000,1.4750000,3.000
BGDE,D,04/04/16,000000,1.4550000,1.4550000,1.4000000,1.4000000,2.000
BGDE,D,05/04/16,000000,1.3800000,1.3800000,1.3800000,1.3800000,1.000
BGDE,D,12/04/16,000000,1.4100000,1.4500000,1.4100000,1.4500000,34.620.000
BGDE,D,13/04/16,000000,1.4750000,1.4750000,1.4750000,1.4750000,1.000
BGDE,D,18/04/16,000000,1.4850000,1.4850000,1.4600000,1.4600000,2.000
BGDE,D,20/04/16,000000,1.4450000,1.4500000,1.4450000,1.4500000,51.285.000
BGDE,D,27/04/16,000000,1.4950000,1.4950000,1.4700000,1.4700000,2.000
BGDE,D,28/04/16,000000,1.4800000,1.4800000,1.4800000,1.4800000,20.332.000
BGDE,D,06/05/16,000000,1.4800000,1.4800000,1.4800000,1.4800000,47.471.000
BGDE,D,10/05/16,000000,1.4650000,1.4650000,1.4650000,1.4650000,30.000
BGDE,D,11/05/16,000000,1.3800000,1.5100000,1.3750000,1.5100000,28.000
BGDE,D,12/05/16,000000,1.5000000,1.5000000,1.5000000,1.5000000,3.000
BGDE,D,13/05/16,000000,1.4800000,1.4800000,1.4800000,1.4800000,1.000
BGDE,D,16/05/16,000000,1.4250000,1.4650000,1.4250000,1.4450000,4.000
BGDE,D,18/05/16,000000,1.4700000,1.4700000,1.4700000,1.4700000,1.000
BGDE,D,19/05/16,000000,1.4100000,1.6900000,1.4100000,1.5350000,27.000
