<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DIXY,D,04/01/16,000000,302.5000000,305.5000000,302.5000000,303.3000000,4.670
DIXY,D,05/01/16,000000,302.5000000,306.0000000,302.5000000,302.9000000,17.450
DIXY,D,06/01/16,000000,302.6000000,304.9000000,302.0000000,303.0000000,19.450
DIXY,D,11/01/16,000000,302.0000000,302.0000000,292.0000000,293.2000000,52.500
DIXY,D,12/01/16,000000,293.2000000,294.9000000,283.7000000,286.0000000,99.400
DIXY,D,13/01/16,000000,286.1000000,291.4000000,286.0000000,289.7000000,17.020
DIXY,D,14/01/16,000000,289.2000000,289.4000000,287.3000000,288.0000000,12.110
DIXY,D,15/01/16,000000,287.7000000,290.1000000,270.0000000,274.2000000,77.660
DIXY,D,18/01/16,000000,272.7000000,279.6000000,268.1000000,276.9000000,17.330
DIXY,D,19/01/16,000000,276.9000000,285.0000000,276.4000000,280.0000000,21.940
DIXY,D,20/01/16,000000,275.9000000,278.0000000,269.1000000,276.9000000,25.530
DIXY,D,21/01/16,000000,276.4000000,282.0000000,276.0000000,280.9000000,28.130
DIXY,D,22/01/16,000000,280.4000000,286.3000000,274.7000000,280.0000000,190.480
DIXY,D,25/01/16,000000,282.0000000,284.6000000,275.1000000,277.7000000,38.300
DIXY,D,26/01/16,000000,277.2000000,279.0000000,274.5000000,275.2000000,76.610
DIXY,D,27/01/16,000000,275.3000000,278.7000000,275.2000000,277.2000000,31.940
DIXY,D,28/01/16,000000,277.1000000,279.9000000,275.2000000,278.8000000,68.300
DIXY,D,29/01/16,000000,279.6000000,281.2000000,277.2000000,279.9000000,52.730
DIXY,D,01/02/16,000000,279.4000000,280.4000000,277.0000000,278.9000000,31.450
DIXY,D,02/02/16,000000,278.4000000,281.2000000,276.0000000,278.7000000,30.460
DIXY,D,03/02/16,000000,278.2000000,278.9000000,276.0000000,277.4000000,79.820
DIXY,D,04/02/16,000000,276.9000000,279.7000000,276.5000000,279.0000000,24.280
DIXY,D,05/02/16,000000,279.0000000,280.0000000,275.1000000,276.8000000,34.160
DIXY,D,08/02/16,000000,276.3000000,278.9000000,275.3000000,276.1000000,25.480
DIXY,D,09/02/16,000000,275.6000000,278.4000000,263.2000000,268.0000000,130.730
DIXY,D,10/02/16,000000,268.0000000,270.0000000,264.2000000,266.6000000,33.440
DIXY,D,11/02/16,000000,266.6000000,267.6000000,261.4000000,263.2000000,51.920
DIXY,D,12/02/16,000000,266.5000000,267.5000000,260.0000000,264.3000000,46.070
DIXY,D,15/02/16,000000,265.1000000,270.0000000,265.0000000,269.2000000,66.950
DIXY,D,16/02/16,000000,269.0000000,272.0000000,267.5000000,269.7000000,58.040
DIXY,D,17/02/16,000000,269.7000000,272.3000000,267.6000000,268.6000000,33.880
DIXY,D,18/02/16,000000,268.6000000,271.9000000,266.1000000,268.6000000,46.220
DIXY,D,19/02/16,000000,268.6000000,270.3000000,265.4000000,270.3000000,39.400
DIXY,D,20/02/16,000000,268.4000000,274.4000000,268.4000000,273.8000000,17.250
DIXY,D,22/02/16,000000,272.7000000,277.7000000,271.1000000,275.5000000,21.970
DIXY,D,24/02/16,000000,273.9000000,274.6000000,271.4000000,273.0000000,14.210
DIXY,D,25/02/16,000000,273.2000000,274.5000000,270.6000000,272.8000000,65.620
DIXY,D,26/02/16,000000,271.6000000,275.7000000,271.3000000,273.0000000,42.030
DIXY,D,29/02/16,000000,272.2000000,273.4000000,270.3000000,271.8000000,45.440
DIXY,D,01/03/16,000000,272.1000000,273.4000000,269.0000000,271.5000000,87.200
DIXY,D,02/03/16,000000,271.0000000,271.0000000,267.2000000,270.0000000,62.130
DIXY,D,03/03/16,000000,269.6000000,271.5000000,265.8000000,267.9000000,66.080
DIXY,D,04/03/16,000000,266.7000000,267.4000000,259.1000000,261.3000000,271.850
DIXY,D,07/03/16,000000,261.4000000,263.6000000,260.9000000,262.6000000,70.360
DIXY,D,09/03/16,000000,262.1000000,263.7000000,261.5000000,261.8000000,36.040
DIXY,D,10/03/16,000000,261.3000000,264.3000000,261.3000000,263.8000000,60.970
DIXY,D,11/03/16,000000,264.1000000,278.7000000,261.6000000,278.4000000,137.380
