<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,04/01/16,000000,9.090.0000000,9.140.0000000,8.892.0000000,8.922.0000000,116.946
GMKN,D,05/01/16,000000,8.930.0000000,9.120.0000000,8.891.0000000,9.085.0000000,137.701
GMKN,D,06/01/16,000000,9.100.0000000,9.148.0000000,8.990.0000000,8.990.0000000,139.135
GMKN,D,11/01/16,000000,8.798.0000000,8.800.0000000,8.507.0000000,8.600.0000000,344.532
GMKN,D,12/01/16,000000,8.550.0000000,8.718.0000000,8.500.0000000,8.553.0000000,229.545
GMKN,D,13/01/16,000000,8.590.0000000,8.788.0000000,8.544.0000000,8.614.0000000,285.535
GMKN,D,14/01/16,000000,8.580.0000000,8.733.0000000,8.400.0000000,8.464.0000000,303.758
GMKN,D,15/01/16,000000,8.473.0000000,8.473.0000000,8.040.0000000,8.050.0000000,451.715
GMKN,D,18/01/16,000000,8.060.0000000,8.385.0000000,7.840.0000000,8.290.0000000,381.847
GMKN,D,19/01/16,000000,8.399.0000000,8.622.0000000,8.370.0000000,8.540.0000000,363.942
GMKN,D,20/01/16,000000,8.475.0000000,8.709.0000000,8.325.0000000,8.649.0000000,397.484
GMKN,D,21/01/16,000000,8.667.0000000,9.216.0000000,8.655.0000000,9.130.0000000,579.667
GMKN,D,22/01/16,000000,9.221.0000000,9.300.0000000,8.951.0000000,9.100.0000000,513.134
GMKN,D,25/01/16,000000,9.107.0000000,9.120.0000000,8.980.0000000,9.050.0000000,287.832
GMKN,D,26/01/16,000000,8.957.0000000,9.165.0000000,8.833.0000000,8.880.0000000,315.174
GMKN,D,27/01/16,000000,8.901.0000000,9.049.0000000,8.900.0000000,8.991.0000000,189.445
GMKN,D,28/01/16,000000,9.011.0000000,9.047.0000000,8.863.0000000,8.970.0000000,241.020
GMKN,D,29/01/16,000000,8.955.0000000,8.984.0000000,8.730.0000000,8.850.0000000,385.232
GMKN,D,01/02/16,000000,8.830.0000000,8.906.0000000,8.625.0000000,8.698.0000000,200.501
GMKN,D,02/02/16,000000,8.700.0000000,8.924.0000000,8.647.0000000,8.924.0000000,288.272
GMKN,D,03/02/16,000000,8.925.0000000,8.950.0000000,8.770.0000000,8.770.0000000,124.220
GMKN,D,04/02/16,000000,8.855.0000000,9.014.0000000,8.795.0000000,8.999.0000000,275.848
GMKN,D,05/02/16,000000,8.943.0000000,9.079.0000000,8.913.0000000,9.005.0000000,166.364
GMKN,D,08/02/16,000000,8.960.0000000,8.995.0000000,8.812.0000000,8.870.0000000,155.723
GMKN,D,09/02/16,000000,8.861.0000000,8.900.0000000,8.620.0000000,8.650.0000000,232.747
GMKN,D,10/02/16,000000,8.615.0000000,8.683.0000000,8.510.0000000,8.510.0000000,220.081
