<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRNT,D,26/02/16,000000,4.0000000,4.3000000,4.0000000,4.1000000,8.000
GRNT,D,29/02/16,000000,4.1000000,4.5000000,4.0000000,4.1300000,11.000
GRNT,D,01/03/16,000000,4.3100000,4.4400000,4.1300000,4.1300000,18.000
GRNT,D,02/03/16,000000,4.2000000,4.2900000,3.9610000,4.1760000,31.000
GRNT,D,03/03/16,000000,4.1300000,4.3500000,3.9990000,4.1800000,64.000
GRNT,D,04/03/16,000000,3.9980000,4.2000000,3.7010000,4.0190000,42.000
GRNT,D,09/03/16,000000,3.9500000,4.0560000,3.3980000,3.9110000,59.000
GRNT,D,10/03/16,000000,3.4260000,4.0200000,3.3250000,3.9180000,52.000
GRNT,D,11/03/16,000000,3.4200000,4.0560000,3.3000000,3.8390000,287.000
GRNT,D,14/03/16,000000,3.7790000,4.0180000,3.2000000,3.4160000,329.000
GRNT,D,15/03/16,000000,3.3500000,3.7100000,3.1000000,3.2190000,596.000
GRNT,D,16/03/16,000000,3.3140000,3.3490000,3.2010000,3.3230000,108.000
GRNT,D,17/03/16,000000,3.2990000,3.5870000,2.7550000,3.3880000,239.000
GRNT,D,18/03/16,000000,3.3480000,3.4540000,2.8810000,3.4510000,39.000
GRNT,D,21/03/16,000000,3.4550000,3.8290000,3.2000000,3.2000000,19.000
GRNT,D,22/03/16,000000,3.3940000,3.6000000,3.1200000,3.3200000,167.000
GRNT,D,23/03/16,000000,3.3000000,3.3430000,3.3000000,3.3430000,2.000
GRNT,D,24/03/16,000000,3.2790000,3.6300000,3.0120000,3.0490000,841.000
GRNT,D,25/03/16,000000,3.0010000,3.1940000,2.6530000,2.9480000,1.613.000
GRNT,D,28/03/16,000000,2.8210000,3.0170000,2.8000000,2.8020000,642.000
GRNT,D,29/03/16,000000,2.8540000,2.9790000,2.5200000,2.5200000,527.000
GRNT,D,30/03/16,000000,2.6190000,2.7000000,2.1860000,2.2600000,991.000
GRNT,D,31/03/16,000000,2.0360000,2.2810000,1.7610000,1.8100000,712.000
GRNT,D,01/04/16,000000,1.7010000,1.8110000,1.6010000,1.6400000,615.000
GRNT,D,04/04/16,000000,1.5610000,1.9840000,1.5220000,1.7380000,1.274.000
GRNT,D,05/04/16,000000,1.7550000,1.7630000,1.6100000,1.7210000,344.000
GRNT,D,06/04/16,000000,1.7280000,1.8790000,1.5700000,1.6230000,911.000
GRNT,D,07/04/16,000000,1.5960000,1.6750000,1.5230000,1.5920000,1.284.000
GRNT,D,08/04/16,000000,1.5380000,1.5860000,1.4950000,1.5000000,690.000
GRNT,D,11/04/16,000000,1.5470000,1.6000000,1.4940000,1.5530000,83.000
GRNT,D,12/04/16,000000,1.5000000,1.5540000,1.4950000,1.5410000,200.000
GRNT,D,13/04/16,000000,1.4950000,1.5480000,1.4940000,1.5480000,83.000
GRNT,D,14/04/16,000000,1.5040000,1.5180000,1.4750000,1.5150000,79.000
GRNT,D,15/04/16,000000,1.4840000,1.5490000,1.4700000,1.5340000,372.000
GRNT,D,18/04/16,000000,1.5330000,1.5340000,1.4780000,1.4910000,57.000
GRNT,D,19/04/16,000000,1.5130000,1.6390000,1.4710000,1.5040000,162.000
GRNT,D,20/04/16,000000,1.5090000,1.5090000,1.4910000,1.4970000,10.000
GRNT,D,21/04/16,000000,1.4800000,1.5120000,1.4600000,1.4990000,23.000
GRNT,D,22/04/16,000000,1.4800000,1.4910000,1.4730000,1.4900000,57.000
GRNT,D,25/04/16,000000,1.5170000,1.6210000,1.4810000,1.5040000,971.000
GRNT,D,26/04/16,000000,1.4820000,1.5250000,1.4660000,1.5150000,75.000
GRNT,D,27/04/16,000000,1.4640000,1.4970000,1.4150000,1.4450000,521.000
GRNT,D,28/04/16,000000,1.4220000,1.4430000,1.1950000,1.2800000,974.000
GRNT,D,29/04/16,000000,1.2770000,1.3990000,1.2110000,1.3390000,60.000
GRNT,D,04/05/16,000000,1.3400000,1.3800000,1.2000000,1.2950000,600.000
GRNT,D,05/05/16,000000,1.2450000,1.3400000,1.2000000,1.3400000,201.000
GRNT,D,06/05/16,000000,1.2650000,1.3250000,1.2000000,1.2900000,284.000
GRNT,D,10/05/16,000000,1.2750000,1.3150000,1.2050000,1.2250000,282.000
GRNT,D,11/05/16,000000,1.2350000,1.2350000,1.1700000,1.2200000,93.000
GRNT,D,12/05/16,000000,1.1700000,1.3800000,1.1600000,1.2500000,386.000
GRNT,D,13/05/16,000000,1.1750000,1.2200000,1.1550000,1.2150000,40.000
GRNT,D,16/05/16,000000,1.2150000,1.3400000,1.1700000,1.2350000,669.000
GRNT,D,17/05/16,000000,1.2100000,1.2400000,1.1350000,1.1350000,1.670.000
GRNT,D,18/05/16,000000,1.1500000,1.1700000,1.0900000,1.1200000,1.819.000
GRNT,D,19/05/16,000000,1.1250000,1.1550000,1.0500000,1.0850000,500.000
GRNT,D,20/05/16,000000,1.0550000,1.0550000,1.0300000,1.0450000,75.000
GRNT,D,23/05/16,000000,1.0400000,1.0600000,1.0150000,1.0250000,77.000
GRNT,D,24/05/16,000000,1.0300000,1.0300000,0.9350000,0.9400000,198.000
GRNT,D,25/05/16,000000,0.9250000,0.9600000,0.8750000,0.9400000,270.000
GRNT,D,26/05/16,000000,0.9350000,0.9350000,0.9250000,0.9250000,4.000
GRNT,D,27/05/16,000000,0.9350000,0.9400000,0.9350000,0.9400000,2.000
GRNT,D,30/05/16,000000,0.9050000,0.9200000,0.8900000,0.8900000,49.000
GRNT,D,31/05/16,000000,0.8850000,0.9000000,0.8800000,0.8850000,10.000
GRNT,D,01/06/16,000000,0.9050000,0.9050000,0.8000000,0.8450000,32.000
GRNT,D,02/06/16,000000,0.8200000,0.8950000,0.7250000,0.7350000,533.000
GRNT,D,03/06/16,000000,0.7350000,0.8000000,0.7150000,0.7450000,165.000
GRNT,D,06/06/16,000000,0.7200000,0.7600000,0.6400000,0.6400000,2.373.000
GRNT,D,07/06/16,000000,0.6500000,0.6850000,0.6000000,0.6350000,1.038.000
GRNT,D,08/06/16,000000,0.6450000,0.6850000,0.5700000,0.5850000,2.322.000
GRNT,D,09/06/16,000000,0.5800000,0.5950000,0.5600000,0.5800000,397.000
GRNT,D,10/06/16,000000,0.5900000,0.5900000,0.4600000,0.4750000,4.915.000
GRNT,D,14/06/16,000000,0.4850000,0.6600000,0.4500000,0.6600000,8.960.000
GRNT,D,15/06/16,000000,0.8200000,0.9200000,0.7150000,0.7500000,13.586.000
GRNT,D,16/06/16,000000,0.7500000,0.7500000,0.6450000,0.6550000,3.954.000
GRNT,D,17/06/16,000000,0.6600000,0.7400000,0.6200000,0.6600000,4.035.000
