<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HALS,D,04/01/16,000000,1.785.0000000,1.785.0000000,1.780.0000000,1.780.0000000,17
HALS,D,05/01/16,000000,1.800.0000000,1.870.0000000,1.780.0000000,1.780.0000000,191
HALS,D,06/01/16,000000,1.785.0000000,1.785.0000000,1.785.0000000,1.785.0000000,1
HALS,D,11/01/16,000000,1.775.0000000,1.780.0000000,1.775.0000000,1.780.0000000,153
HALS,D,12/01/16,000000,1.780.0000000,1.785.0000000,1.780.0000000,1.780.0000000,13
HALS,D,13/01/16,000000,1.780.0000000,1.785.0000000,1.780.0000000,1.780.0000000,54
HALS,D,15/01/16,000000,1.780.0000000,1.785.0000000,1.780.0000000,1.780.0000000,48
HALS,D,18/01/16,000000,1.780.0000000,1.780.0000000,1.780.0000000,1.780.0000000,56
HALS,D,20/01/16,000000,1.765.0000000,1.785.0000000,1.765.0000000,1.770.0000000,1.316
HALS,D,21/01/16,000000,1.780.0000000,1.780.0000000,1.780.0000000,1.780.0000000,2
HALS,D,25/01/16,000000,1.785.0000000,1.785.0000000,1.775.0000000,1.775.0000000,51
HALS,D,26/01/16,000000,1.775.0000000,1.775.0000000,1.775.0000000,1.775.0000000,1
HALS,D,27/01/16,000000,1.790.0000000,1.790.0000000,1.775.0000000,1.775.0000000,41
HALS,D,28/01/16,000000,1.775.0000000,1.775.0000000,1.775.0000000,1.775.0000000,10
HALS,D,29/01/16,000000,1.750.0000000,1.770.0000000,1.750.0000000,1.770.0000000,23
HALS,D,01/02/16,000000,1.760.0000000,1.790.0000000,1.760.0000000,1.780.0000000,10
HALS,D,02/02/16,000000,1.790.0000000,1.790.0000000,1.775.0000000,1.785.0000000,21
HALS,D,03/02/16,000000,1.760.0000000,1.785.0000000,1.760.0000000,1.780.0000000,1.094
HALS,D,05/02/16,000000,1.790.0000000,1.790.0000000,1.790.0000000,1.790.0000000,1
HALS,D,08/02/16,000000,1.785.0000000,1.785.0000000,1.780.0000000,1.780.0000000,2
HALS,D,09/02/16,000000,1.780.0000000,1.800.0000000,1.775.0000000,1.780.0000000,174
HALS,D,10/02/16,000000,1.780.0000000,1.785.0000000,1.780.0000000,1.780.0000000,41
HALS,D,11/02/16,000000,1.780.0000000,1.785.0000000,1.780.0000000,1.785.0000000,21
HALS,D,16/02/16,000000,1.785.0000000,1.790.0000000,1.785.0000000,1.790.0000000,2
HALS,D,17/02/16,000000,1.775.0000000,1.775.0000000,1.775.0000000,1.775.0000000,7
HALS,D,18/02/16,000000,1.760.0000000,1.760.0000000,1.645.0000000,1.720.0000000,277
