<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,D,04/01/16,000000,7.350.0000000,7.350.0000000,7.350.0000000,7.350.0000000,3
LNZL,D,05/01/16,000000,7.320.0000000,7.320.0000000,7.190.0000000,7.200.0000000,102
LNZL,D,06/01/16,000000,7.230.0000000,7.340.0000000,7.220.0000000,7.330.0000000,38
LNZL,D,11/01/16,000000,7.210.0000000,7.790.0000000,7.190.0000000,7.650.0000000,191
LNZL,D,12/01/16,000000,7.730.0000000,8.240.0000000,7.730.0000000,7.900.0000000,244
LNZL,D,13/01/16,000000,7.920.0000000,7.960.0000000,7.800.0000000,7.950.0000000,51
LNZL,D,14/01/16,000000,7.980.0000000,8.420.0000000,7.600.0000000,7.800.0000000,168
LNZL,D,15/01/16,000000,7.550.0000000,7.700.0000000,7.300.0000000,7.410.0000000,491
LNZL,D,18/01/16,000000,7.370.0000000,7.600.0000000,7.320.0000000,7.560.0000000,67
LNZL,D,19/01/16,000000,7.360.0000000,7.980.0000000,7.360.0000000,7.790.0000000,192
LNZL,D,20/01/16,000000,7.700.0000000,7.700.0000000,7.400.0000000,7.660.0000000,122
LNZL,D,21/01/16,000000,7.740.0000000,7.870.0000000,7.550.0000000,7.620.0000000,335
LNZL,D,22/01/16,000000,7.740.0000000,7.900.0000000,7.640.0000000,7.770.0000000,439
LNZL,D,25/01/16,000000,7.720.0000000,7.770.0000000,7.600.0000000,7.760.0000000,125
LNZL,D,26/01/16,000000,7.800.0000000,7.850.0000000,7.600.0000000,7.690.0000000,253
LNZL,D,27/01/16,000000,7.760.0000000,7.800.0000000,7.710.0000000,7.800.0000000,204
LNZL,D,28/01/16,000000,7.840.0000000,8.270.0000000,7.200.0000000,7.900.0000000,506
LNZL,D,29/01/16,000000,7.800.0000000,8.020.0000000,7.800.0000000,7.960.0000000,59
LNZL,D,01/02/16,000000,8.000.0000000,8.190.0000000,7.940.0000000,8.100.0000000,161
LNZL,D,02/02/16,000000,8.060.0000000,8.200.0000000,7.960.0000000,8.080.0000000,171
LNZL,D,03/02/16,000000,8.050.0000000,8.220.0000000,8.050.0000000,8.150.0000000,112
LNZL,D,04/02/16,000000,8.240.0000000,8.240.0000000,8.120.0000000,8.210.0000000,91
LNZL,D,05/02/16,000000,8.220.0000000,8.300.0000000,8.200.0000000,8.300.0000000,113
LNZL,D,08/02/16,000000,8.300.0000000,8.400.0000000,8.270.0000000,8.340.0000000,140
LNZL,D,09/02/16,000000,8.280.0000000,8.490.0000000,8.280.0000000,8.420.0000000,177
LNZL,D,10/02/16,000000,8.470.0000000,9.000.0000000,8.440.0000000,8.550.0000000,294
LNZL,D,11/02/16,000000,8.530.0000000,8.590.0000000,8.450.0000000,8.560.0000000,125
LNZL,D,12/02/16,000000,8.550.0000000,8.620.0000000,8.500.0000000,8.610.0000000,93
LNZL,D,15/02/16,000000,8.570.0000000,8.610.0000000,8.550.0000000,8.600.0000000,102
LNZL,D,16/02/16,000000,8.550.0000000,8.610.0000000,8.400.0000000,8.470.0000000,201
LNZL,D,17/02/16,000000,8.370.0000000,8.540.0000000,8.200.0000000,8.300.0000000,261
LNZL,D,18/02/16,000000,8.280.0000000,8.350.0000000,8.210.0000000,8.340.0000000,40
LNZL,D,19/02/16,000000,8.240.0000000,8.400.0000000,8.220.0000000,8.380.0000000,67
LNZL,D,20/02/16,000000,8.420.0000000,8.480.0000000,8.380.0000000,8.420.0000000,59
LNZL,D,22/02/16,000000,8.490.0000000,8.490.0000000,8.420.0000000,8.450.0000000,21
LNZL,D,24/02/16,000000,8.440.0000000,8.480.0000000,8.420.0000000,8.480.0000000,69
LNZL,D,25/02/16,000000,8.500.0000000,8.590.0000000,8.410.0000000,8.500.0000000,192
LNZL,D,26/02/16,000000,8.560.0000000,8.850.0000000,8.560.0000000,8.700.0000000,469
LNZL,D,29/02/16,000000,8.680.0000000,8.760.0000000,8.650.0000000,8.680.0000000,161
LNZL,D,01/03/16,000000,8.690.0000000,8.810.0000000,8.680.0000000,8.700.0000000,216
LNZL,D,02/03/16,000000,8.740.0000000,8.760.0000000,8.700.0000000,8.760.0000000,80
LNZL,D,03/03/16,000000,8.740.0000000,8.870.0000000,8.660.0000000,8.750.0000000,286
LNZL,D,04/03/16,000000,8.850.0000000,8.850.0000000,8.670.0000000,8.800.0000000,191
