<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
UTSY,D,05/01/16,000000,1.4000000,1.4000000,1.4000000,1.4000000,2.000
UTSY,D,15/01/16,000000,1.2600000,1.3400000,1.2000000,1.3400000,10.000
UTSY,D,19/01/16,000000,1.3800000,1.3800000,1.3800000,1.3800000,1.000
UTSY,D,20/01/16,000000,1.3800000,1.3800000,1.3800000,1.3800000,1.000
UTSY,D,22/01/16,000000,1.3700000,1.3700000,1.3700000,1.3700000,1.000
UTSY,D,25/01/16,000000,1.3000000,1.3000000,1.3000000,1.3000000,3.000
UTSY,D,26/01/16,000000,1.2900000,1.2900000,1.1900000,1.2800000,7.000
UTSY,D,29/01/16,000000,1.2100000,1.3200000,1.2000000,1.3200000,28.000
UTSY,D,01/02/16,000000,1.3300000,1.3300000,1.3300000,1.3300000,1.000
UTSY,D,02/02/16,000000,1.3300000,1.3300000,1.3300000,1.3300000,10.000
UTSY,D,05/02/16,000000,1.3300000,1.3300000,1.3000000,1.3000000,9.000
UTSY,D,08/02/16,000000,1.3400000,1.6300000,1.3200000,1.3200000,4.000
UTSY,D,11/02/16,000000,1.2000000,1.2000000,1.2000000,1.2000000,1.000
UTSY,D,16/02/16,000000,1.2900000,1.3500000,1.2900000,1.3500000,2.000
UTSY,D,17/02/16,000000,1.2900000,1.2900000,1.2900000,1.2900000,2.000
UTSY,D,19/02/16,000000,1.2900000,1.2900000,1.2400000,1.2400000,2.000
UTSY,D,01/03/16,000000,1.2500000,1.2500000,1.2100000,1.2100000,5.000
UTSY,D,02/03/16,000000,1.1000000,1.3100000,1.1000000,1.3000000,41.000
UTSY,D,03/03/16,000000,1.2500000,1.4800000,1.2400000,1.4800000,191.000
UTSY,D,04/03/16,000000,1.4100000,1.5500000,1.4000000,1.5200000,165.000
UTSY,D,07/03/16,000000,1.4000000,1.4000000,1.1800000,1.3500000,11.000
UTSY,D,09/03/16,000000,1.2600000,1.4900000,1.2400000,1.4800000,160.000
UTSY,D,10/03/16,000000,1.3400000,1.5600000,1.3000000,1.5000000,186.000
UTSY,D,11/03/16,000000,1.5000000,2.0500000,1.4000000,1.8000000,304.000
UTSY,D,14/03/16,000000,2.0400000,2.0400000,1.7300000,1.8000000,94.000
UTSY,D,15/03/16,000000,1.7700000,1.8000000,1.4800000,1.4800000,92.000
UTSY,D,16/03/16,000000,1.6000000,1.7700000,1.4800000,1.6100000,75.000
UTSY,D,17/03/16,000000,1.5200000,1.7400000,1.5200000,1.7400000,38.000
UTSY,D,18/03/16,000000,1.7800000,1.8000000,1.6100000,1.6100000,20.000
UTSY,D,21/03/16,000000,1.6400000,1.9400000,1.6400000,1.8000000,50.000
