<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ZILL,D,04/01/16,000000,355.0000000,361.0000000,355.0000000,361.0000000,140
ZILL,D,05/01/16,000000,380.0000000,400.0000000,365.0000000,365.0000000,370
ZILL,D,06/01/16,000000,398.0000000,400.0000000,390.0000000,400.0000000,80
ZILL,D,11/01/16,000000,380.0000000,397.0000000,363.0000000,392.0000000,180
ZILL,D,12/01/16,000000,396.0000000,548.0000000,392.0000000,548.0000000,3.980
ZILL,D,13/01/16,000000,650.0000000,766.0000000,570.0000000,766.0000000,6.650
ZILL,D,14/01/16,000000,800.0000000,1.070.0000000,755.0000000,811.0000000,6.560
ZILL,D,15/01/16,000000,780.0000000,782.0000000,630.0000000,650.0000000,2.110
ZILL,D,18/01/16,000000,628.0000000,838.0000000,625.0000000,714.0000000,2.260
ZILL,D,19/01/16,000000,746.0000000,750.0000000,701.0000000,701.0000000,100
ZILL,D,20/01/16,000000,674.0000000,682.0000000,631.0000000,682.0000000,420
ZILL,D,21/01/16,000000,668.0000000,750.0000000,668.0000000,750.0000000,400
ZILL,D,22/01/16,000000,760.0000000,792.0000000,660.0000000,700.0000000,230
ZILL,D,25/01/16,000000,747.0000000,749.0000000,722.0000000,722.0000000,40
ZILL,D,26/01/16,000000,722.0000000,722.0000000,675.0000000,680.0000000,150
ZILL,D,27/01/16,000000,765.0000000,778.0000000,717.0000000,717.0000000,40
ZILL,D,28/01/16,000000,726.0000000,749.0000000,692.0000000,749.0000000,30
ZILL,D,29/01/16,000000,798.0000000,1.046.0000000,798.0000000,903.0000000,2.870
ZILL,D,01/02/16,000000,923.0000000,1.098.0000000,850.0000000,894.0000000,1.500
ZILL,D,02/02/16,000000,866.0000000,1.150.0000000,866.0000000,1.088.0000000,1.400
ZILL,D,03/02/16,000000,1.098.0000000,1.260.0000000,1.021.0000000,1.040.0000000,1.550
ZILL,D,04/02/16,000000,1.072.0000000,1.129.0000000,1.036.0000000,1.074.0000000,420
ZILL,D,05/02/16,000000,1.077.0000000,1.077.0000000,976.0000000,1.051.0000000,930
ZILL,D,08/02/16,000000,1.071.0000000,1.197.0000000,1.013.0000000,1.132.0000000,1.160
ZILL,D,09/02/16,000000,1.090.0000000,1.196.0000000,1.087.0000000,1.186.0000000,410
ZILL,D,10/02/16,000000,1.076.0000000,1.170.0000000,1.070.0000000,1.129.0000000,190
ZILL,D,11/02/16,000000,1.052.0000000,1.166.0000000,1.050.0000000,1.102.0000000,530
ZILL,D,12/02/16,000000,1.055.0000000,1.109.0000000,1.055.0000000,1.099.0000000,210
ZILL,D,15/02/16,000000,1.085.0000000,1.085.0000000,941.0000000,1.078.0000000,440
ZILL,D,16/02/16,000000,1.058.0000000,1.098.0000000,1.056.0000000,1.089.0000000,230
ZILL,D,17/02/16,000000,1.024.0000000,1.086.0000000,1.024.0000000,1.035.0000000,320
ZILL,D,18/02/16,000000,1.003.0000000,1.046.0000000,1.003.0000000,1.034.0000000,290
ZILL,D,19/02/16,000000,1.016.0000000,1.032.0000000,990.0000000,1.032.0000000,140
ZILL,D,20/02/16,000000,1.033.0000000,1.033.0000000,983.0000000,990.0000000,220
