<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
04.01.2016	1,4	1,4	1,4	1,4	10.000
05.01.2016	1,5	1,5	1,5	1,5	10.000
11.01.2016	1,45	1,45	1,42	1,45	50.000
12.01.2016	1,45	1,45	1,32	1,32	80.000
13.01.2016	1,47	1,47	1,47	1,47	10.000
14.01.2016	1,38	1,38	1,38	1,38	10.000
19.01.2016	1,34	1,38	1,34	1,38	20.000
21.01.2016	1,27	1,31	1,27	1,31	20.000
22.01.2016	1,46	1,46	1,46	1,46	20.000
25.01.2016	1,49	1,49	1,49	1,49	10.000
27.01.2016	1,47	1,47	1,46	1,46	30.000
28.01.2016	1,47	1,47	1,47	1,47	10.000
29.01.2016	1,39	1,48	1,39	1,43	90.000
01.02.2016	1,49	1,5	1,49	1,5	20.000
02.02.2016	1,4	1,4	1,4	1,4	10.000
04.02.2016	1,48	1,48	1,45	1,48	30.000
09.02.2016	1,45	1,45	1,45	1,45	10.000
10.02.2016	1,48	1,48	1,48	1,48	20.000
11.02.2016	1,45	1,45	1,4	1,4	40.000
12.02.2016	1,48	1,48	1,3	1,33	110.000
19.02.2016	1,41	1,41	1,41	1,41	10.000
24.02.2016	1,34	1,38	1,34	1,38	20.000
25.02.2016	1,35	1,35	1,35	1,35	20.000
29.02.2016	1,47	1,48	1,43	1,43	30.000
04.03.2016	1,36	1,4	1,36	1,4	20.000
09.03.2016	1,36	1,36	1,36	1,36	10.000
10.03.2016	1,36	1,39	1,36	1,36	30.000
11.03.2016	1,35	1,35	1,35	1,35	10.000
14.03.2016	1,35	1,35	1,35	1,35	10.000
15.03.2016	1,39	1,55	1,39	1,47	100.000
16.03.2016	1,54	1,58	1,46	1,5	160.000
17.03.2016	1,43	1,43	1,43	1,43	10.000
18.03.2016	1,48	1,5	1,48	1,5	30.000
21.03.2016	1,48	1,48	1,48	1,48	10.000
22.03.2016	1,43	1,43	1,32	1,38	60.000
23.03.2016	1,42	1,48	1,37	1,37	50.000
25.03.2016	1,43	1,65	1,43	1,65	160.000
28.03.2016	1,52	1,55	1,45	1,55	100.000
29.03.2016	1,49	1,49	1,49	1,49	10.000
30.03.2016	1,55	1,57	1,55	1,57	30.000
01.04.2016	1,45	1,45	1,45	1,45	10.000
04.04.2016	1,42	1,42	1,42	1,42	10.000
05.04.2016	1,41	1,41	1,41	1,41	10.000
07.04.2016	1,44	1,58	1,44	1,55	80.000
08.04.2016	1,5	1,5	1,45	1,48	90.000
11.04.2016	1,59	1,59	1,28	1,45	140.000
12.04.2016	1,38	1,59	1,38	1,59	180.000
13.04.2016	1,55	1,55	1,5	1,51	90.000
19.04.2016	1,58	1,58	1,58	1,58	20.000
20.04.2016	1,55	1,55	1,41	1,44	30.000
25.04.2016	1,41	1,44	1,41	1,44	20.000
27.04.2016	1,41	1,41	1,3	1,38	90.000
29.04.2016	1,44	1,44	1,44	1,44	20.000
04.05.2016	1,44	1,44	1,44	1,44	10.000
13.05.2016	1,36	1,36	1,36	1,36	10.000
17.05.2016	1,47	1,47	1,47	1,47	10.000
20.05.2016	1,47	1,5	1,47	1,5	30.000
30.05.2016	1,32	1,44	1,32	1,44	20.000
07.06.2016	1,42	1,42	1,42	1,42	10.000
10.06.2016	1,32	1,38	1,25	1,38	4.000
14.06.2016	1,4	1,44	1,35	1,44	23.000
15.06.2016	1,45	1,99	1,45	1,59	246.000
16.06.2016	1,64	1,69	1,45	1,45	19.000
17.06.2016	1,45	1,59	1,27	1,58	55.000
20.06.2016	1,5	1,5	1,5	1,5	1.000
22.06.2016	1,5	1,5	1,5	1,5	10.000
23.06.2016	1,46	1,46	1,46	1,46	1.000
24.06.2016	1,41	1,41	1,31	1,31	7.000
27.06.2016	1,32	1,63	1,23	1,37	35.000
28.06.2016	1,42	1,42	1,34	1,36	5.000
30.06.2016	1,37	1,37	1,37	1,37	1.000
01.07.2016	1,35	1,35	1,35	1,35	3.000
04.07.2016	1,4	1,47	1,37	1,37	7.000
05.07.2016	1,38	1,38	1,38	1,38	1.000
11.07.2016	1,41	1,41	1,41	1,41	1.000
13.07.2016	1,43	1,51	1,43	1,47	6.000
14.07.2016	1,47	1,55	1,47	1,51	18.000
15.07.2016	1,51	1,57	1,29	1,39	152.000
18.07.2016	1,37	1,37	1,34	1,34	9.000
19.07.2016	1,34	1,34	1,34	1,34	1.000
20.07.2016	1,34	1,34	1,34	1,34	1.000
21.07.2016	1,34	1,34	1,3	1,34	73.000
22.07.2016	1,34	1,36	1,34	1,36	3.000
25.07.2016	1,36	1,79	1,35	1,54	90.000
26.07.2016	1,51	1,61	1,44	1,44	12.000
27.07.2016	1,46	1,57	1,4	1,43	47.000
28.07.2016	1,42	1,51	1,42	1,42	13.000
29.07.2016	1,43	1,55	1,38	1,41	23.000
01.08.2016	1,43	1,43	1,43	1,43	1.000
02.08.2016	1,46	1,51	1,36	1,44	59.000
03.08.2016	1,4	1,45	0,96	1,4	57.000
04.08.2016	1,43	1,49	1,43	1,43	31.000
05.08.2016	1,42	1,42	1,28	1,4	49.000
08.08.2016	1,41	1,42	1,41	1,42	2.000
09.08.2016	1,42	1,44	1,42	1,44	3.000
10.08.2016	1,42	1,49	1,41	1,46	11.000
11.08.2016	1,46	1,46	1,35	1,46	35.000
12.08.2016	1,44	1,44	1,4	1,4	6.000
15.08.2016	1,41	1,42	1,35	1,39	24.000
16.08.2016	1,4	1,41	1,38	1,4	17.000
22.08.2016	1,41	1,41	1,41	1,41	1.000
23.08.2016	1,41	1,41	1,37	1,37	7.000
24.08.2016	1,4	1,44	1,4	1,42	10.000
25.08.2016	1,39	1,39	1,35	1,39	5.000
31.08.2016	1,37	1,39	1,34	1,37	89.000
01.09.2016	1,45	1,55	1,28	1,51	646.000
02.09.2016	1,54	2,11	1,48	2,11	742.000
05.09.2016	2,88	2,95	2,03	2,17	1.432.000
06.09.2016	2,18	2,94	1,77	2,64	935.000
07.09.2016	2,65	3,61	2,61	2,96	1.394.000
08.09.2016	3,15	3,38	2,61	2,89	689.000
09.09.2016	2,85	2,97	2,38	2,5	619.000
12.09.2016	2,41	2,81	2,31	2,58	275.000
13.09.2016	2,55	2,66	2,49	2,55	60.000
14.09.2016	2,52	2,77	2,43	2,55	180.000
15.09.2016	2,59	2,63	2,31	2,32	206.000
16.09.2016	2,39	2,45	2,21	2,44	181.000
19.09.2016	2,47	2,56	2,21	2,54	189.000
20.09.2016	2,55	2,67	2,45	2,64	156.000
21.09.2016	2,65	3,25	2,65	2,96	302.000
22.09.2016	3,48	3,79	2,98	3,13	1.126.000
23.09.2016	3,15	3,59	3	3,3	390.000
26.09.2016	3,45	4,61	3,42	4,61	1.271.000
27.09.2016	5,9	6,45	5,07	6,45	1.209.000
28.09.2016	7,1	7,57	4,86	5,82	1.349.000
29.09.2016	5,88	6,23	5,3	6,2	327.000
30.09.2016	6,15	7,5	6,15	6,47	993.000
03.10.2016	7,25	7,26	5,93	6,3	342.000
04.10.2016	6,41	6,99	5,86	6,87	465.000
05.10.2016	6,95	7,88	6,55	7,12	1.031.000
06.10.2016	7	7	6	6,29	625.000
07.10.2016	6,12	6,28	5,72	5,9	347.000
10.10.2016	5,65	5,96	4,92	5	1.047.000
11.10.2016	4,82	5,79	4,41	5	722.000
12.10.2016	5,01	5,3	4,66	4,99	351.000
13.10.2016	5,01	5,29	4,91	4,99	99.000
14.10.2016	4,92	5,1	4,57	4,8	266.000
17.10.2016	4,88	5,73	4,8	5,19	619.000
18.10.2016	5,01	5,46	5	5,29	256.000
19.10.2016	5,21	5,4	5,04	5,2	208.000
20.10.2016	5,35	5,36	5,12	5,25	64.000
21.10.2016	5,16	5,16	4,9	4,93	94.000
24.10.2016	4,84	5,57	4,8	5,55	239.000
25.10.2016	5,17	6	5,17	5,27	716.000
26.10.2016	5,08	5,6	5,08	5,31	196.000
27.10.2016	5,37	5,48	5,07	5,11	118.000
28.10.2016	5,05	5,27	4,9	5,09	249.000
31.10.2016	5,01	5,79	5	5,31	211.000
01.11.2016	5,29	5,29	5,07	5,15	73.000
02.11.2016	5,05	5,16	4,8	5,02	321.000
03.11.2016	5	5,24	4,97	4,97	95.000
07.11.2016	4,93	5,1	4,93	5,1	16.000
08.11.2016	4,98	5,11	4,8	4,89	56.000
09.11.2016	4,82	5,04	4,67	4,75	188.000
10.11.2016	4,72	4,91	4,6	4,8	64.000
11.11.2016	4,73	4,81	4,48	4,64	272.000
14.11.2016	4,77	5,96	4,4	4,79	912.000
15.11.2016	4,94	5,57	4,94	5,13	212.000
16.11.2016	5,04	5,1	4,91	4,98	103.000
17.11.2016	5,17	5,2	4,81	4,81	61.000
18.11.2016	4,82	5,09	4,8	5	119.000
21.11.2016	4,81	5,09	4,8	4,99	83.000
22.11.2016	5,02	5,07	4,85	4,87	108.000
23.11.2016	4,76	5,03	4,65	5,01	104.000
24.11.2016	5,05	5,05	4,77	4,82	141.000
25.11.2016	4,95	4,97	4,85	4,89	46.000
